"uuid","Fully specified name:fr","Fully specified name:en","Data class","Data type","Same as mappings","_version:1","_order:1150"
"235b9e31-b19c-4f7f-be44-63a50636ebfa","Shigellose à Shigella sonnei","Shigellosis due to Shigella sonnei","Diagnosis","N/A","ICD 10 - WHO:A03.3",,
"88450258-95ca-482d-8d81-8c9d70940e31","Autres shigelloses","Other shigellosis","Diagnosis","N/A","ICD 10 - WHO:A03.8",,
"e36d8ce5-308c-4297-8453-97b9bde5538d","Shigellose, sans précision","Shigellosis, unspecified","Diagnosis","N/A","ICD 10 - WHO:A03.9",,
"1c4757cb-cb2e-4725-a0cc-384fa7b60cd9","Infection entéropathogène à Escherichia coli","Enteropathogenic Escherichia coli infection","Diagnosis","N/A","ICD 10 - WHO:A04.0",,
"ac2d9b9c-bdff-4ba4-9f7e-feb4b92e0375","Infection entérotoxigène à Escherichia coli","Enterotoxigenic Escherichia coli infection","Diagnosis","N/A","ICD 10 - WHO:A04.1",,
"956022cd-dcf1-49a8-87b0-20c8a535d08b","Infection entéro-invasive à Escherichia coli","Enteroinvasive Escherichia coli infection","Diagnosis","N/A","ICD 10 - WHO:A04.2",,
"6629a291-9ea7-4216-b91d-7e46c94073cb","Infection entéro-hémorragique à Escherichia coli","Enterohaemorrhagic Escherichia coli infection","Diagnosis","N/A","ICD 10 - WHO:A04.3",,
"0b53a080-f8b9-417f-8d51-69ceebbd59fb","Autres infections intestinales à Escherichia coli","Other intestinal Escherichia coli infections","Diagnosis","N/A","ICD 10 - WHO:A04.4",,
"c9fd5519-8b27-4144-9c45-ac3812402254","Entérite à Campylobacter","Campylobacter enteritis","Diagnosis","N/A","ICD 10 - WHO:A04.5",,
"f90220ce-8703-4b15-acfa-16ee29c3421d","Entérite à Yersinia enterocolitica","Enteritis due to Yersinia enterocolitica","Diagnosis","N/A","ICD 10 - WHO:A04.6",,
"59e9a17e-65c9-4b7e-85ee-06ab92241a67","Entérocolite à Clostridium difficile","Enterocolitis due to Clostridium difficile","Diagnosis","N/A","ICD 10 - WHO:A04.7",,
"e677ab33-b468-4c34-b3b9-394caa256b7a","Autres infections intestinales bactériennes précisées","Other specified bacterial intestinal infections","Diagnosis","N/A","ICD 10 - WHO:A04.8",,
"b02ed252-b66e-4037-8c94-12c780cc37a7","Infection intestinale bactérienne, sans précision","Bacterial intestinal infection, unspecified","Diagnosis","N/A","ICD 10 - WHO:A04.9",,
"d0ff3193-5af8-492c-841d-dae4ba764602","Intoxication alimentaire à staphylocoques","Foodborne staphylococcal intoxication","Diagnosis","N/A","ICD 10 - WHO:A05.0",,
"e2202d8b-5bca-4238-a49f-813b29d1c58b","Botulisme","Botulism","Diagnosis","N/A","ICD 10 - WHO:A05.1",,
"9505be0e-0842-4885-823b-3d64ba3053ca","Intoxication alimentaire à Clostridium perfringens [Clostridium welchii]","Foodborne Clostridium perfringens [Clostridium welchii] intoxication","Diagnosis","N/A","ICD 10 - WHO:A05.2",,
"ce64c4f9-2bb6-4696-b57b-604816d59b1a","Intoxication alimentaire à Vibrio parahaemolyticus","Foodborne Vibrio parahaemolyticus intoxication","Diagnosis","N/A","ICD 10 - WHO:A05.3",,
"008ad228-2907-4e56-af9a-65ef248fea50","Intoxication alimentaire à Bacillus cereus","Foodborne Bacillus cereus intoxication","Diagnosis","N/A","ICD 10 - WHO:A05.4",,
"064181f1-352d-4b9f-944d-371cc6005f63","Autres intoxications bactériennes d'origine alimentaire précisées","Other specified bacterial foodborne intoxications","Diagnosis","N/A","ICD 10 - WHO:A05.8",,
"3d36df9a-444a-42aa-8157-a70d626836a9","Intoxication bactérienne d'origine alimentaire, sans précision","Bacterial foodborne intoxication, unspecified","Diagnosis","N/A","ICD 10 - WHO:A05.9",,
"c7ba430f-f966-4b9c-98b7-afeb9cf4e20d","Dysenterie amibienne aiguë","Acute amoebic dysentery","Diagnosis","N/A","ICD 10 - WHO:A06.0",,
"68ccbc1e-bd26-49f9-a3e5-14ef4d66ebb2","Amibiase intestinale chronique","Chronic intestinal amoebiasis","Diagnosis","N/A","ICD 10 - WHO:A06.1",,
"8df52b97-c322-4dd7-b5ba-fcc56300f99d","Colite amibienne non dysentérique","Amoebic nondysenteric colitis","Diagnosis","N/A","ICD 10 - WHO:A06.2",,
"8f986a5b-5796-405d-9166-033ae3113ffd","Amœbome de l'intestin","Amoeboma of intestine","Diagnosis","N/A","ICD 10 - WHO:A06.3",,
"59e92821-ea4a-41a3-91f1-58dd3c6259f2","Abcès amibien du foie","†Amoebic liver abscess (K77.0*)","Diagnosis","N/A","ICD 10 - WHO:A06.4",,
"5c9c6596-ee88-4704-acae-f7c37b974663","†Abcès amibien du poumon (J99.8*)","†Amoebic lung abscess (J99.8*)","Diagnosis","N/A","ICD 10 - WHO:A06.5",,
"be5764e2-49f1-4ad9-82b3-35ddf0b1908d","†Abcès amibien du cerveau (G07*)","†Amoebic brain abscess (G07*)","Diagnosis","N/A","ICD 10 - WHO:A06.6",,
"5f004b64-c915-49b2-a045-280f1d2d650e","Amibiase cutanée","Cutaneous amoebiasis","Diagnosis","N/A","ICD 10 - WHO:A06.7",,
"82222eb3-11f3-4983-8ce1-7545ab06d3dd","Autres localisations d'une infection amibienne","Amoebic infection of other sites","Diagnosis","N/A","ICD 10 - WHO:A06.8",,
"f4053d74-2836-406a-828a-e1944d0abbf7","Amibiase, sans précision","Amoebiasis, unspecified","Diagnosis","N/A","ICD 10 - WHO:A06.9",,
"f06c66ae-a973-496c-b743-dfe19384f309","Balantidiose","Balantidiasis","Diagnosis","N/A","ICD 10 - WHO:A07.0",,
"46bbe347-2d2c-431a-aca3-bed2b1daa1c2","Giardiase [lambliase]","Giardiasis [lambliasis]","Diagnosis","N/A","ICD 10 - WHO:A07.1",,
"f5c60702-ab37-4f64-b678-ace5d969faca","Cryptosporidiose","Cryptosporidiosis","Diagnosis","N/A","ICD 10 - WHO:A07.2",,
"7b86125d-0fec-4b71-be50-8bbafc69c0d4","Infection à Isospora","Isosporiasis","Diagnosis","N/A","ICD 10 - WHO:A07.3",,
"f7866ab2-5907-42a2-b91d-79ccb24792d8","Autres maladies intestinales précisées, à protozoaires","Other specified protozoal intestinal diseases","Diagnosis","N/A","ICD 10 - WHO:A07.8",,
"87630b9c-b9ac-44af-92a3-7858f78874fd","Maladie intestinale à protozoaires, sans précision","Protozoal intestinal disease, unspecified","Diagnosis","N/A","ICD 10 - WHO:A07.9",,
"726f4827-31fa-4769-b764-dccc0ccc3b8e","Entérite à rotavirus","Rotaviral enteritis","Diagnosis","N/A","ICD 10 - WHO:A08.0",,
"d7897338-4ed1-4967-b927-bbf709e79615","Gastro-entéropathie aiguë à l'agent de Norwalk","Acute gastroenteropathy due to Norwalk agent","Diagnosis","N/A","ICD 10 - WHO:A08.1",,
"129d1e89-c85f-49d0-996d-a33d56f99c9a","Entérite à adénovirus","Adenoviral enteritis","Diagnosis","N/A","ICD 10 - WHO:A08.2",,
"852bfe6c-d930-4316-945a-8a04cbaf0d7c","Autres entérites virales","Other viral enteritis","Diagnosis","N/A","ICD 10 - WHO:A08.3",,
"d7821f69-33a8-4020-b929-906d25e2d613","Infections intestinales virales, sans précision","Viral intestinal infection, unspecified","Diagnosis","N/A","ICD 10 - WHO:A08.4",,
"1ed9b5d4-cddc-4a89-93f0-63a007f574a3","Autres infections intestinales précisées","Other specified intestinal infections","Diagnosis","N/A","ICD 10 - WHO:A08.5",,
"bd15719a-358d-411a-897c-fe02c592b877","Gastro-entérites et colites d'origine infectieuse, autres et non précisées","Other and unspecified gastroenteritis and colitis of infectious origin","Diagnosis","N/A","ICD 10 - WHO:A09.0",,
"3bdf9343-077b-40b0-b5cb-f44f06d3be28","Gastroentérite et colite d'origine non spécifiée","Gastroenteritis and colitis of unspecified origin","Diagnosis","N/A","ICD 10 - WHO:A09.9",,
"24f4e285-1441-4597-a6a2-7912b5a9c96f","Tuberculose pulmonaire, confirmée par examen microscopique de l'expectoration, avec ou sans culture","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Diagnosis","N/A","ICD 10 - WHO:A15.0",,
"93f7cc0b-c6d1-455c-9f0e-e62666e4b688","Tuberculose pulmonaire, confirmée par culture seulement","Tuberculosis of lung, confirmed by culture only","Diagnosis","N/A","ICD 10 - WHO:A15.1",,
"caa61153-fc0e-48d3-869e-0ebf5f127734","Tuberculose pulmonaire, avec confirmation histologique","Tuberculosis of lung, confirmed histologically","Diagnosis","N/A","ICD 10 - WHO:A15.2",,
"a2b8a0fc-c4fc-4cbf-ae3d-aff54ae30622","Tuberculose pulmonaire, avec confirmation, moyen non précisé","Tuberculosis of lung, confirmed by unspecified means","Diagnosis","N/A","ICD 10 - WHO:A15.3",,
"b942acae-2d35-4e55-b316-b648d58aea0b","Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Diagnosis","N/A","ICD 10 - WHO:A15.4",,
"f0d1aff5-ed26-403d-8058-5773d151734b","Tuberculose du larynx, de la trachée et des bronches, avec confirmation bactériologique et histologique","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Diagnosis","N/A","ICD 10 - WHO:A15.5",,
"f04303d1-5d2f-46d2-a884-10719d378ad0","Pleurésie tuberculeuse, avec confirmation bactériologique et histologique","Tuberculous pleurisy, confirmed bacteriologically and histologically","Diagnosis","N/A","ICD 10 - WHO:A15.6",,
"bf455eb5-a22a-4197-8b03-b3f53e2a7d34","Primo-infection tuberculeuse de l'appareil respiratoire, avec confirmation bactériologique et histologique","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Diagnosis","N/A","ICD 10 - WHO:A15.7",,
"aaa5d230-c2b3-4b87-acf7-c0c5348be532","Autres formes de tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique","Other respiratory tuberculosis, confirmed bacteriologically and histologically","Diagnosis","N/A","ICD 10 - WHO:A15.8",,
"8b73588e-79d4-4a1f-9dc8-695efa7df854","Tuberculose de l'appareil respiratoire sans précision, avec confirmation bactériologique et histologique","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Diagnosis","N/A","ICD 10 - WHO:A15.9",,
"17e652e0-c5e3-44c4-a4ad-06397993cbd5","Tuberculose pulmonaire, avec examens bactériologique et histologique négatifs","Tuberculosis of lung, bacteriologically and histologically negative","Diagnosis","N/A","ICD 10 - WHO:A16.0",,
"3345625f-ab76-4bcd-9659-cbcb69c08bf5","Tuberculose pulmonaire, sans examen bactériologique et histologique","Tuberculosis of lung, bacteriological and histological examination not done","Diagnosis","N/A","ICD 10 - WHO:A16.1",,
"2e8ac874-db1d-45b7-bc7c-58dda233a627","Tuberculose pulmonaire, sans mention de confirmation bactériologique ou histologique","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Diagnosis","N/A","ICD 10 - WHO:A16.2",,
"4ab2f892-f5ed-471b-9284-1ae8fb4ff7a5","Tuberculose des ganglions intrathoraciques, sans mention de confirmation bactériologique ou histologique","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Diagnosis","N/A","ICD 10 - WHO:A16.3",,
"299b710a-2443-425b-a436-5cac88cba0b9","Tuberculose du larynx, de la trachée et des bronches, sans mention de confirmation bactériologique ou histologique","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Diagnosis","N/A","ICD 10 - WHO:A16.4",,
"3d61a293-fe35-477c-9d2a-abb0ad151736","Pleurésie tuberculeuse, sans mention de confirmation bactériologique ou histologique","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Diagnosis","N/A","ICD 10 - WHO:A16.5",,
"2c9b8653-9606-4118-83cd-2fe846c3cf19","Primo-infection tuberculeuse de l'appareil respiratoire, sans mention de confirmation bactériologique ou histologique","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation","Diagnosis","N/A","ICD 10 - WHO:A16.7",,
"26a64ce5-e7f5-4d8a-be7b-bc301904ba33","Autres formes de tuberculose de l'appareil respiratoire, sans mention de confirmation bactériologique ou histologique","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Diagnosis","N/A","ICD 10 - WHO:A16.8",,
"a32a15db-4e4b-44aa-b198-8fc60d079e78","Tuberculose de l'appareil respiratoire sans précision, sans mention de confirmation bactériologique ou histologique","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Diagnosis","N/A","ICD 10 - WHO:A16.9",,
"a3fb9e09-2e58-4f99-8d6f-752e8d2ea095","†Méningite tuberculeuse (G01*)","†Tuberculous meningitis (G01*)","Diagnosis","N/A","ICD 10 - WHO:A17.0",,
"e349f833-7391-4d80-a291-aaa57d57052c","†Tuberculome méningé (G07*)","†Meningeal tuberculoma (G07*)","Diagnosis","N/A","ICD 10 - WHO:A17.1",,
"d70d7064-e20d-41ea-a8ba-9c6d63fb4ede","†Autres formes de Tuberculose du système nerveux","†Other tuberculosis of nervous system","Diagnosis","N/A","ICD 10 - WHO:A17.8",,
"0c76830f-a17d-483a-98cb-338cda4309d6","†Tuberculose du système nerveux, sans précision (G99.8*)","†Tuberculosis of nervous system, unspecified (G99.8*)","Diagnosis","N/A","ICD 10 - WHO:A17.9",,
"4648a29a-b77c-4cc6-8a21-88bac1359c75","†Tuberculose des os et des articulations","†Tuberculosis of bones and joints","Diagnosis","N/A","ICD 10 - WHO:A18.0",,
"14dc4ff9-8173-4bd2-99af-8e26c7c6ee7f","Tuberculose de l'appareil génito-urinaire","†Tuberculosis of genitourinary system","Diagnosis","N/A","ICD 10 - WHO:A18.1",,
"39c5bc0d-7ed7-47d3-87dc-43ca51f74229","Adénopathie tuberculeuse périphérique","Tuberculous peripheral lymphadenopathy","Diagnosis","N/A","ICD 10 - WHO:A18.2",,
"4d29fd3b-21b9-495f-8a35-81d2eb8abfeb","Tuberculose de l'intestin, du péritoine et des ganglions mésentériques","Tuberculosis of intestines, peritoneum and mesenteric glands","Diagnosis","N/A","ICD 10 - WHO:A18.3",,
"4c23c669-783d-4e06-a759-07cdef452239","Tuberculose de la peau et du tissu cellulaire sous-cutané","Tuberculosis of skin and subcutaneous tissue","Diagnosis","N/A","ICD 10 - WHO:A18.4",,
"ca8b26dc-4ed4-4256-a590-7138d0d196d3","Tuberculose de l'œil","Tuberculosis of eye","Diagnosis","N/A","ICD 10 - WHO:A18.5",,
"2e7961bb-1994-42a0-9801-cb8d304bcb65","Tuberculose de l'oreille","Tuberculosis of ear","Diagnosis","N/A","ICD 10 - WHO:A18.6",,
"040b7fa4-fc64-440e-b247-e901c67c47e6","†Tuberculose des surrénales (E35.1*)","†Tuberculosis of adrenal glands (E35.1*)","Diagnosis","N/A","ICD 10 - WHO:A18.7",,
"4276b1e7-ae13-484e-bae6-5a616b012a10","Tuberculose d'autres organes précisés","Tuberculosis of other specified organs","Diagnosis","N/A","ICD 10 - WHO:A18.8",,
"18e755ae-b2bf-498b-9bcc-764534a900ed","Tuberculose miliaire aiguë, localisation unique et précisée","Acute miliary tuberculosis of a single specified site","Diagnosis","N/A","ICD 10 - WHO:A19.0",,
"0e95ff45-f297-4325-9770-50cac9f27672","Tuberculose miliaire aiguë, sièges multiples","Acute miliary tuberculosis of multiple sites","Diagnosis","N/A","ICD 10 - WHO:A19.1",,
"b62c44e4-5bb0-4255-9e96-a806ad9af651","Tuberculose miliaire aiguë, sans précision","Acute miliary tuberculosis, unspecified","Diagnosis","N/A","ICD 10 - WHO:A19.2",,
"75ef7cbb-3bea-4264-9a3b-da28d15d1f6d","Autres tuberculoses miliaires","Other miliary tuberculosis","Diagnosis","N/A","ICD 10 - WHO:A19.8",,
"7bc79593-84b2-4f8e-8716-e7f5ea3c68a2","Tuberculose miliaire, sans précision","Miliary tuberculosis, unspecified","Diagnosis","N/A","ICD 10 - WHO:A19.9",,
"00e77fb6-34d9-41da-b0d8-0f68a34aa8f5","Peste bubonique","Bubonic plague","Diagnosis","N/A","ICD 10 - WHO:A20.0",,
"c7ddddec-439d-460c-b225-b42f2ef9c477","Peste cutanée","Cellulocutaneous plague","Diagnosis","N/A","ICD 10 - WHO:A20.1",,
"63dd16d8-ccd7-4642-b2e5-0ab76d01858e","Peste pulmonaire","Pneumonic plague","Diagnosis","N/A","ICD 10 - WHO:A20.2",,
"80f09d8f-e3b2-4447-8517-dceb67d2aed3","Peste méningée","Plague meningitis","Diagnosis","N/A","ICD 10 - WHO:A20.3",,
"4350f95d-956e-4f89-9664-15a55b3735df","Peste septicémique","Septicaemic plague","Diagnosis","N/A","ICD 10 - WHO:A20.7",,
"388d43e5-7082-4583-8d29-d8372cf2f9e1","Autres formes de peste","Other forms of plague","Diagnosis","N/A","ICD 10 - WHO:A20.8",,
"9552b6e2-1ab8-4bbf-bb0f-30330ca34869","Peste, sans précision","Plague, unspecified","Diagnosis","N/A","ICD 10 - WHO:A20.9",,
"517386ae-0255-469f-9154-b3dd4ed3d442","Tularémie ulcéro-glandulaire","Ulceroglandular tularaemia","Diagnosis","N/A","ICD 10 - WHO:A21.0",,
"97ee8144-54eb-4e5d-935b-c844b5a0acf2","Tularémie oculo-glandulaire","Oculoglandular tularaemia","Diagnosis","N/A","ICD 10 - WHO:A21.1",,
"84f38f0a-ee5d-420a-b1da-5ddd91b04bc0","Tularémie pulmonaire","Pulmonary tularaemia","Diagnosis","N/A","ICD 10 - WHO:A21.2",,
"5f793411-eb95-4acd-9ffe-2397bcda3c50","Tularémie gastro-intestinale","Gastrointestinal tularaemia","Diagnosis","N/A","ICD 10 - WHO:A21.3",,
"565780c4-11ee-49a4-9ac0-3a53aeb742c6","Tularémie généralisée","Generalized tularaemia","Diagnosis","N/A","ICD 10 - WHO:A21.7",,
"9c5c1e53-cc3f-4dfc-99cc-5cde07a4ba97","Autres formes de tularémie","Other forms of tularaemia","Diagnosis","N/A","ICD 10 - WHO:A21.8",,
"61c6e9f0-445b-4e18-8558-675b264047bb","Tularémie, sans précision","Tularaemia, unspecified","Diagnosis","N/A","ICD 10 - WHO:A21.9",,
"1b4062da-4764-44c4-b7c9-1f1c257c7bb0","Charbon cutané","Cutaneous anthrax","Diagnosis","N/A","ICD 10 - WHO:A22.0",,
"caf7495e-77a8-4f37-87cc-205963c4e85a","Charbon pulmonaire","Pulmonary anthrax","Diagnosis","N/A","ICD 10 - WHO:A22.1",,
"09348343-3b42-41f9-9f4b-8a3039707733","Charbon gastro-intestinal","Gastrointestinal anthrax","Diagnosis","N/A","ICD 10 - WHO:A22.2",,
"bf39cba0-dffc-4919-888d-b15b7a79a821","Septicémie charbonneuse","Anthrax sepsis","Diagnosis","N/A","ICD 10 - WHO:A22.7",,
"ea1340cf-f199-4a03-b754-be2ea700022f","Autres formes de charbon","Other forms of anthrax","Diagnosis","N/A","ICD 10 - WHO:A22.8",,
"052d6725-5f10-481f-ac97-f48c3c2b7666","Charbon, sans précision","Anthrax, unspecified","Diagnosis","N/A","ICD 10 - WHO:A22.9",,
"568e55aa-a51c-4f8f-a5fb-7cd88b35c82a","Brucellose à Brucella melitensis","Brucellosis due to Brucella melitensis","Diagnosis","N/A","ICD 10 - WHO:A23.0",,
"ca9480f8-931b-4cb3-b4fb-ad0db2b97be2","Brucellose à Brucella abortus","Brucellosis due to Brucella abortus","Diagnosis","N/A","ICD 10 - WHO:A23.1",,
"5f82f7d6-88e3-42d5-aa04-d5b5c6be8558","Brucellose à Brucella suis","Brucellosis due to Brucella suis","Diagnosis","N/A","ICD 10 - WHO:A23.2",,
"82ee2ee2-1c15-45a5-907b-e3288a873406","Brucellose à Brucella canis","Brucellosis due to Brucella canis","Diagnosis","N/A","ICD 10 - WHO:A23.3",,
"4f4c9a87-cc00-46ef-a52d-04ee4a516455","Autres brucelloses","Other brucellosis","Diagnosis","N/A","ICD 10 - WHO:A23.8",,
"e17d7faa-0c74-4321-9d6c-3b5622a9dc1c","Brucellose, sans précision","Brucellosis, unspecified","Diagnosis","N/A","ICD 10 - WHO:A23.9",,
"761a18cf-41fe-47ad-bd33-e7be94036f01","Morve","Glanders","Diagnosis","N/A","ICD 10 - WHO:A24.0",,
"2348784e-bdf7-4f5a-9662-b5095937ec0a","Mélioïdose aiguë et galopante","Acute and fulminating melioidosis","Diagnosis","N/A","ICD 10 - WHO:A24.1",,
"7c26b54a-e537-432a-82fd-933adfd44854","Mélioïdose subaiguë et chronique","Subacute and chronic melioidosis","Diagnosis","N/A","ICD 10 - WHO:A24.2",,
"02fb847a-4d32-4bee-8bdb-7cc6f3499e66","Autres mélioïdoses","Other melioidosis","Diagnosis","N/A","ICD 10 - WHO:A24.3",,
"0eaed9ac-c118-434b-bca7-fbdaf22a867e","Mélioïdose, sans précision","Melioidosis, unspecified","Diagnosis","N/A","ICD 10 - WHO:A24.4",,
"f76fa0df-ee16-46ad-a051-45f8462d345d","Spirillose","Spirillosis","Diagnosis","N/A","ICD 10 - WHO:A25.0",,
"cfe70391-37f7-4df1-8cb1-cb3f81fe9cba","Streptobacillose","Streptobacillosis","Diagnosis","N/A","ICD 10 - WHO:A25.1",,
"14bab802-d05a-4f63-9193-35ca0c6794fa","Fièvre causée par morsure de rat, sans précision","Rat-bite fever, unspecified","Diagnosis","N/A","ICD 10 - WHO:A25.9",,
"5631a53b-dba1-4186-920b-3f517645c638","Erysipéloïde cutanée","Cutaneous erysipeloid","Diagnosis","N/A","ICD 10 - WHO:A26.0",,
"beb009cd-7fec-44ba-a4a9-6c33cea34753","Septicémie à Erysipelothrix","Erysipelothrix sepsis","Diagnosis","N/A","ICD 10 - WHO:A26.7",,
"588308cc-3b4e-4da0-b459-537dd1ec4921","Autres formes d'érysipéloïde","Other forms of erysipeloid","Diagnosis","N/A","ICD 10 - WHO:A26.8",,
"9cb87463-34f3-4978-a32e-22c2723f700b","Erysipéloïde, sans précision","Erysipeloid, unspecified","Diagnosis","N/A","ICD 10 - WHO:A26.9",,
"117c14f8-59d7-487e-9781-28a7fa9dab9d","Leptospirose ictéro-hémorragique","Leptospirosis icterohaemorrhagica","Diagnosis","N/A","ICD 10 - WHO:A27.0",,
"ab0a4c67-1177-45bc-ad5d-1066644c393c","Autres formes de leptospirose","Other forms of leptospirosis","Diagnosis","N/A","ICD 10 - WHO:A27.8",,
"bf870cbb-1111-4566-a5a7-510095a883cb","Leptospirose, sans précision","Leptospirosis, unspecified","Diagnosis","N/A","ICD 10 - WHO:A27.9",,
"dec61601-e48a-4298-8edf-1d61f5006d34","Pasteurellose","Pasteurellosis","Diagnosis","N/A","ICD 10 - WHO:A28.0",,
"e268ebaa-7869-460b-bfbc-b1eb31cf1501","Maladie des griffes du chat","Cat-scratch disease","Diagnosis","N/A","ICD 10 - WHO:A28.1",,
"52a29549-aff4-441f-8b7a-cfcd4cb310e8","Yersiniose extra-intestinale","Extraintestinal yersiniosis","Diagnosis","N/A","ICD 10 - WHO:A28.2",,
"4b3fe7ad-071f-4889-b0fe-e280f1638e12","Autres anthropozoonoses bactériennes précisées, non classées ailleurs","Other specified zoonotic bacterial diseases, not elsewhere classified","Diagnosis","N/A","ICD 10 - WHO:A28.8",,
"cf9269d1-0d8d-4ac0-b9b9-6c00f75f45d7","Anthropozoonose bactérienne, sans précision","Zoonotic bacterial disease, unspecified","Diagnosis","N/A","ICD 10 - WHO:A28.9",,
"3649044a-d50b-4b7e-a650-c070b8a8620a","Lèpre indéterminée","Indeterminate leprosy","Diagnosis","N/A","ICD 10 - WHO:A30.0",,
"3b3be527-c038-4c64-b91e-de61ddaa7d6c","Lèpre tuberculoïde","Tuberculoid leprosy","Diagnosis","N/A","ICD 10 - WHO:A30.1",,
"d2af9eac-e5e3-46b1-af97-4b78ab659ba1","Lèpre tuberculoïde de type intermédiaire atypique","Borderline tuberculoid leprosy","Diagnosis","N/A","ICD 10 - WHO:A30.2",,
"ca845fc6-1caa-4b49-8a85-e32dba7cfab0","Lèpre de type intermédiaire atypique","Borderline leprosy","Diagnosis","N/A","ICD 10 - WHO:A30.3",,
"8fbe92c9-c167-4840-b59c-a919581844b9","Lèpre lépromateuse de type intermédiaire atypique","Borderline lepromatous leprosy","Diagnosis","N/A","ICD 10 - WHO:A30.4",,
"4a2357a6-4d3c-4b7d-b26b-c1b69e9734fd","Lèpre lépromateuse","Lepromatous leprosy","Diagnosis","N/A","ICD 10 - WHO:A30.5",,
"34555a6a-f43c-4ae8-b41d-f7db280f8e1b","Autres formes de lèpre","Other forms of leprosy","Diagnosis","N/A","ICD 10 - WHO:A30.8",,
"033c07a0-82ee-4429-aceb-1951ddeec2e8","Lèpre, sans précision","Leprosy, unspecified","Diagnosis","N/A","ICD 10 - WHO:A30.9",,
"82dff3cb-e9d8-4de9-a4cd-56b0c81bb991","Infection pulmonaire à Mycobacterium","Pulmonary mycobacterial infection","Diagnosis","N/A","ICD 10 - WHO:A31.0",,
"24896f93-1ae1-49a0-8586-7c023c3dd3f9","Infection cutanée à Mycobacterium","Cutaneous mycobacterial infection","Diagnosis","N/A","ICD 10 - WHO:A31.1",,
