uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,Normal high,Normal low,Units,Allow decimals,_version:1,_order:1180
81d58e2f-d637-4d8c-8c50-cec2b6bbd400,,,MCHC Date de résultat,MCHC Test Date,MCHC Date de résultat,MCHC Test Date,Misc,Date,,,,,,
770b346d-c700-4944-be11-65cedcaf4765,,,Neutrophile,Neutrophils,PN,PN,LabTest,Numeric,5.8,3,x10^9/L,yes,,
c22ebb68-6bbf-42a3-be57-c474e6d503fd,,,Neutrophile Date de résultat,Neutrophils Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
e1f22a54-d503-4a74-92d1-a1ec1599b54d,,,Lymphocite,Lymphocytes,Lymphocite,Lymphocytes,LabTest,Numeric,3,1.5,x10^9/L,yes,,
8e55d2d6-ebfd-4803-855d-62c3f257b515,,,Lymphocite Date de résultat,Lymphocytes Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
5f5ff02b-2678-42bd-be41-e036e122dd6d,,,Urobilinogène,Urobilinogen (Urine),Urobilinogène,Urobilinogen (Urine),LabTest,Text,32,0.2,,,,
6125745b-6d67-4440-a954-722e354d43e9,,,pH (Urine),pH (Urine),pH (Urine),pH (Urine),LabTest,Text,,,,,,
e8bb139a-b47f-4746-bac4-ea9d8d0339b4,,,Monocytes,Monocytes,Monocytes,Monocytes,LabTest,Numeric,0.5,0.3,x10^9/L,yes,,
785ca0ee-29e2-4297-ad9c-9403ddc9cfef,,,Monocytes Date de résultat,Monocytes Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
9277f041-341f-4faf-90e8-ad37158374cf,,,PE,Eosinophils,PE,Eosinophils,LabTest,Numeric,0.25,0.05,x10^9/L,yes,,
1a087b52-310c-4505-83ae-5d7fea440795,,,PE Date de résultat,Eosinophils Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
5d4e8c84-9cf5-42c9-bb7c-02983b3339a0,,,PB,Basophils,PB,Basophils,LabTest,Numeric,0.05,0.01,x10^9/L,yes,,
99daac70-eb8f-415e-bf5e-24b4ccb185a6,,,PB Date de résultat,Basophils Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
e31a086d-c2ed-4c4e-b9c8-8fabc4ee3040,Total Leucocyte count;Total Leucocyte count Test Date;RBC;RBC Test Date;Platelets;Platelets Test Date;Haemoglobin;Haemoglobin Test Date;Haematocrit;Haematocrit Test Date;MCV;MCV Test Date;MCH;MCH Test Date;MCHC;MCHC Test Date;Neutrophils;Neutrophils Test Date;Lymphocytes;Lymphocytes Test Date;Monocytes;Monocytes Test Date;Eosinophils;Eosinophils Test Date;Basophils;Basophils Test Date,,NFS,CBC (NFS),NFS,CBC (NFS),LabSet,N/A,,,,,,
04ea884b-51b5-4e02-9c03-50a0b39f7dc5,,,Réticulocytes,Reticulocytes,Réticulocytes,Reticulocytes,LabTest,Numeric,0.075,0.025,x 10^12/L,yes,,
0aeea0f5-afad-4a4b-b26c-92c4f8343257,,,Réticulocytes Date de résultat,Reticulocytes Test Date,Date de résultat,Test Date,Misc,Date,, ,,,,
c006e1d8-4073-4074-9a35-38875a84bfbe,,,Vitesse de Sédimentation,Erythrocyte Sedimentation Rate,Vitesse de Sédimentation,Erythrocyte Sedimentation Rate,LabTest,Numeric,15,0,mm/h,yes,,
24d24c34-e7e3-441b-92a4-422fbef6434e,,,Vitesse de Sédimentation Date de résultat,Erythrocyte Sedimentation Rate Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
f8ca5471-4e76-4737-8ea4-7555f6d5af0f,,,ABO,ABO,ABO,ABO,LabTest,Text,,,,,,
114f50f4-4fa5-407f-aa44-6ff28e4cc7cf,,,ABO Date de résultat,ABO Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
2b779c52-b483-48ce-9cae-87e744695bf0,,,Rh +/-,Rh +/-,Rh +/-,Rh +/-,LabTest,Text,,,,,,
02d25db5-a056-4508-baf8-3040343af87b,,,Rh +/- Date de résultat,Rh +/- Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
40086195-e758-4a08-a07f-bfca132a492a,ABO;ABO Test Date;Rh +/-;Rh +/- Test Date,,Groupe Sanguin,Blood grouping,Groupe Sanguin,Blood grouping,LabSet,Text,,,,,,
5a993557-b47c-427c-87d9-abc9c32951f0,,,Temps de saignement,Bleeding time,Temps de saignement,Bleeding time,LabTest,Numeric,5,0,min,yes,,
66ff9f0e-292f-4356-8b52-e278026fe20c,,,Temps de saignement Date de résultat,Bleeding time Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
b97bb1ab-ed7c-4261-bd56-3b56a12e6429,,,INR,INR,INR,INR,LabTest,Numeric,,,,yes,,
c275dffe-aac9-4d07-b4b6-6029fbc6b8bc,,,INR Date de résultat,INR Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
c9770444-0deb-4e28-8d4b-bfbeae0d038c,,,Taux de prothrombine,Prothrombin time (PT),Prothrombin time (PT),Prothrombin time (PT),LabTest,Numeric,12,9,sec,yes,,
285e18d4-7151-43f0-964d-2e6d2b9227cc,,,Taux de prothrombine Date de résultat,Prothrombin time (PT) Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
4069b4ca-a3f1-4c91-8713-fb44386fec7d,,,Thrombin Time,Thrombin Time,Thrombin Time,Thrombin Time,LabTest,Numeric,17,0,sec,yes,,
2d98c6c3-6a3f-4a6a-a03b-668b480590f4,,,Thrombin Time Date de résultat,Thrombin Time Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
2984e64b-4886-4ac6-b16b-8166fab1ed5d,,,APTT test,APTT test,APTT test,APTT test,LabTest,Numeric,40,25,sec,yes,,
a5532d3c-e4ac-4e10-84e8-5993bdd07b61,,,APTT test Date de résultat,APTT test Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
14556e8b-38cf-4cf3-a18c-dda72ecfecfd,,,Temps de Cephaline -Kaolin,Cephalin-Kaolin time,Temps de Cephaline -Kaolin,Cephalin-Kaolin time,LabTest,Numeric,,,,yes,,
a4de8a5a-184a-4aab-b5eb-89be74ce84a0,,,Temps de Cephaline -Kaolin Date de résultat,Cephalin-Kaolin time Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
6e23a99b-ae9a-42de-8b95-38ebdf977835,Bleeding time;Bleeding time Test Date;INR;INR Test Date;Prothrombin time (PT);Prothrombin time (PT) Test Date;Thrombin Time;Thrombin Time Test Date;Cephalin-Kaolin time;Cephalin-Kaolin time Test Date;APTT test;APTT test Test Date,,Hémostase,Haemostasis,Hémostase,Haemostasis,Misc,N/A,,,,,,
cb47c708-38b3-4bc8-9955-5271efc77fdd,,,Test d'Emmel,Emmel test (P/N),Test d'Emmel,Emmel test (P/N),LabTest,Text,,,,,,
9acec936-c10a-46f4-9cc6-47d0fb37c92f,,,Test d'Emmel Date de résultat,Emmel test (P/N) Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
809dd0f5-ce54-441c-b835-a2a8b06a6140,,,CD4,CD4,CD4,CD4,LabTest,Numeric,,,,yes,,
c036cb1f-d061-40f4-b0f6-2401b4607f59,,,CD4 Date de résultat,CD4 Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
aea928c9-5525-449e-92e4-313a87bdc136,,,Myelogramm,Myelogramm,Myelogramm,Myelogramm,LabTest,Text,,,,,,
e3a379a8-2508-4fd1-bafb-04e994f4d856,,,Myelogramm Date de résultat,Myelogramm Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
ce7df201-7edb-46ec-a40f-3298ebb9f49c,,Positive;Negative,VDRL,VDRL,VDRL,VDRL,LabTest,Coded,,,,,,
95a3b901-45bb-4d10-b0d1-5df32cd59b77,,,VDRL Comment,VDRL Comment,VDRL Comment,VDRL Comment,Misc,Text,,,,,,
c976b25d-b0df-4bd9-94f6-da55db7fd323,,,VDRL Date de résultat,VDRL Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
ea07f728-cc9e-426f-bcef-6a3d4361da73,,Positive;Negative,TPHA,TPHA,TPHA,TPHA,LabTest,Coded,,,,,,
aa7a4005-8c18-45d6-adbc-125713e4e7f0,,,TPHA Comment,TPHA Comment,TPHA Comment,TPHA Comment,Misc,Text,,,,,,
cd914a45-90f4-49ea-bdd5-45c35084b21b,,,TPHA Date de résultat,TPHA Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
4ac71a9f-9549-4793-88cf-75fe0ea83178,VDRL;VDRL Comment;VDRL Test Date;TPHA;TPHA Comment;TPHA Test Date,,Sérologie Syphilis,Syphilis Serology,Sérologie Syphilis,Syphilis Serology,LabSet,N/A,,,,,,
70b4549d-12d7-4870-b6fd-4b45facb328e,,Positive;Negative,TO,TO,TO,TO,LabTest,Coded,,,,,,
2f5b26d6-71ea-4925-b046-f7c1dddc2ac6,,,TO Titre,TO Titre,TO Titre,TO Titre,LabTest,Numeric,160,20,,yes,,
5d65353d-55dd-4999-a842-c74f0bcfc3f4,,,TO Date de résultat,TO Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
819fd38a-3a4e-46ec-94df-eed2257a0e0c,,Positive;Negative,TH,TH,TH,TH,LabTest,Coded,,,,,,
26827938-e19a-41b5-b45f-632b195ebb3d,,,TH Titre,TH Titre,TH Titre,TH Titre,LabTest,Numeric,160,20,,yes,,
f10d85e1-27bd-4d45-8f53-dd8f301450fa,,,TH Date de résultat,TH Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
14ec8aef-2bd3-42d2-9df2-c00dfee31880,,Positive;Negative,AO,AO,AO,AO,LabTest,Coded,,,,,,
13b59986-f3d7-4772-9359-ae5f258b16a5,,,AO Titre,AO Titre,AO Titre,AO Titre,LabTest,Numeric,160,20,,yes,,
a7c8f138-a676-40dc-8e9f-4d3a2d252c0d,,,AO Date de résultat,AO Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
0fb4e77b-33b1-4e74-89ac-1ada4acb138f,,Positive;Negative,AH,AH,AH,AH,LabTest,Coded,,,,,,
58424c98-29d0-4319-ab4d-ad213841d99a,,,AH Titre,AH Titre,AH Titre,AH Titre,LabTest,Numeric,160,20,,yes,,
31abb1d6-ff35-431f-a37d-7ae382e71709,,,AH Date de résultat,AH Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
c0e371c2-ccca-4e96-a07d-966858ad7a0b,,Positive;Negative,BO,BO,BO,BO,LabTest,Coded,,,,,,
a604bca3-3708-4bc0-b3ec-f77192618375,,,BO Titre,BO Titre,BO Titre,BO Titre,LabTest,Numeric,160,20,,yes,,
4f47353a-ae89-46c6-bb0f-34a7a15930cc,,,BO Date de résultat,BO Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
b32fa012-9c52-402f-9e29-ed61958763f5,,Positive;Negative,BH,BH,BH,BH,LabTest,Coded,,,,,,
9499e300-1854-4483-8616-065e5fd3220f,,,BH Titre,BH Titre,BH Titre,BH Titre,LabTest,Numeric,160,20,,yes,,
be352a29-82cd-4805-815c-f33a51c97ea3,,,BH Date de résultat,BH Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
4ff12ec0-01e9-416a-9000-c8ab0f0caf7e,,Positive;Negative,CO,CO,CO,CO,LabTest,Coded,,,,,,
6f8519d9-5116-4f30-9fa8-d0761889f678,,,CO Titre,CO Titre,CO Titre,CO Titre,LabTest,Numeric,160,20,,yes,,
dc9f06ee-b6c2-493f-9281-b694a89d4daf,,,CO Date de résultat,CO Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
4bee858f-1ac6-45f9-b37e-577ea4471489,,Positive;Negative,CH,CH,CH,CH,LabTest,Coded,,,,,,
1b62ccff-b0fe-417a-a921-96bc35a2dae5,,,CH Titre,CH Titre,CH Titre,CH Titre,LabTest,Numeric,160,20,,yes,,
153b5a60-bf96-4974-b147-78daa32a8145,,,CH Date de résultat,CH Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
1ab20bce-c0a3-4495-b3ac-c911e69c131e,TO;TO Titre;TO Test Date;TH;TH Titre;TH Test Date;AO;AO Titre;AO Test Date;AH;AH Titre;AH Test Date;BO;BO Titre;BO Test Date;BH;BH Titre;BH Test Date;CO;CO Titre;CO Test Date;CH;CH Titre;CH Test Date,,Sérodiagnostic de Widal et Félix,Widal Test,Sérodiagnostic de Widal et Félix,Widal Test,LabSet,N/A,,,,,,
d9bc19ab-c223-4283-8800-daf9da3b7c4b,,,Anti Strepto Lysine O / A.S.L.O.,Anti Strepto Lysine O / A.S.L.O.,Anti Strepto Lysine O / A.S.L.O.,Anti Strepto Lysine O / A.S.L.O.,LabTest,Text,,,,,,
5a8b150a-be76-455a-9e2d-cdca3c1b7729,,,Anti Strepto Lysine O / A.S.L.O. Date de résultat,Anti Strepto Lysine O / A.S.L.O. Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
748fb84d-75ef-4970-8b6d-b6f5342eadd9,,,Facteurs Rhumatoïdes,Rheumatoid factors,Facteurs Rhumatoïdes,Rheumatoid factors,LabTest,Text,,,,,,
ea76ec52-865b-4400-9bba-f7e26bf9b3fb,,,Facteurs Rhumatoïdes Date de résultat,Rheumatoid factors Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
32c3c2e4-317f-4c49-b927-34b3752e05cb,,,Indéterminé,Indeterminate,Indéterminé,Indeterminate,Misc,N/A,,
4f6f1443-46da-4534-b560-c70c4af30214,,Negative;Positive;Indeterminate,1er Test / Determine,1st Test / Determine,1er Test / Determine,1st Test / Determine,LabTest,Coded,,,,,,
f1cb1ce1-6aca-4547-8667-0f812dce8b37,,,1er Test / Determine Date de résultat,1st Test / Determine Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
fe1288e6-c79b-40d3-a4a0-717a6ac23ffa,,Negative;Positive;Indeterminate,2e Test / Oraquick or KHB,2nd Test / Oraquick or KHB,2e Test / Oraquick or KHB,2nd Test / Oraquick or KHB,LabTest,Coded,,,,,,
66a2d13e-34b2-4a59-8a97-3ad8433546c9,,,2e Test / Oraquick or KHB Date de résultat,2nd Test / Oraquick or KHB Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
0fbcb64a-869f-4c0c-a95c-255c370c4fbe,,Negative;Positive;Indeterminate,Retesting 1,Retest 1,Retesting 1,Retest 1,LabTest,Coded,,,,,,
095ceba6-f745-481a-84da-9fced9222bc3,,,Retesting 1 Date de résultat,Retest 1 Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
0a65dd3d-8534-4209-92b4-39bd6863de2b,,Negative;Positive;Indeterminate,Retesting 2,Retest 2,Retesting 2,Retest 2,LabTest,Coded,,,,,,
9d41ac20-ecc6-4973-8d8a-81b176874dd4,,,Retesting 2 Date de résultat,Retest 2 Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
ddf890b6-61d3-4d7c-825d-2c0a072537f7,1st Test / Determine;1st Test / Determine Test Date;2nd Test / Oraquick or KHB;2nd Test / Oraquick or KHB Test Date;Retest 1;Retest 1 Test Date;Retest 2;Retest 2 Test Date,,VIH,HIV Tests,VIH,HIV Tests,LabSet,N/A,,,,,,
184175a6-4d5b-4a73-bfad-05ff01e58d80,,Negative;Positive,Antigène HBs,HBs Antigen,Antigène HBs,HBs Antigen,LabTest,Text,,,,,,
9f8a4faf-d248-43dc-8bbb-080e5f2cb75a,,,Antigène HBs Date de résultat,HBs Antigen Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
fec66488-f245-4ceb-99c9-7ab47f8a5ec3,,Negative;Positive,Anticorps HVC,HVC antibodies,Anticorps HVC,HVC antibodies,LabTest,Text,,,,,,
1c4fdb1e-cf3e-4462-b0f0-c7d5bcd80609,,,Anticorps HVC Date de résultat,HVC antibodies Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
a4bdb591-e673-4d29-9867-1e09a89c61f5,,Negative;Positive,Chlamydia,Chlamydia,Chlamydia,Chlamydia,LabTest,Text,,,,,,
2f3575d9-6458-4620-8e04-6b0fbafe1e45,,,Chlamydia Date de résultat,Chlamydia Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
ba53b869-e844-4a80-a7fe-f755a86e6585,,Negative;Positive,Toxoplasmose,Toxoplasmosis,Toxoplasmose,Toxoplasmosis,LabTest,Text,,,,,,
f87e96c5-14aa-427b-8716-f8df391d675b,,,Toxoplasmose Date de résultat,Toxoplasmosis Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
10ef6abd-4ae7-4a3a-a8ec-26dbbb4ec7b2,,Negative;Positive,RUBEOLE,Rubella,RUBEOLE,Rubella,LabTest,Text,,,,,,
eca75e94-a37d-496a-aa65-3ff1d2ece534,,,RUBEOLE Date de résultat,Rubella Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
4d80e0ce-5465-4041-9d1e-d281d25a9b50,,,Charge Virale de Routine,Routine Viral Load,Charge Virale de Routine,Routine Viral Load,LabTest,Numeric,,,copies/ml,yes,,
9ee13e38-c7ce-11e9-a32f-2a2ae2dbcce4,,,Charge Virale Ciblée,Targeted Viral Load,Charge Virale Ciblée,Targeted Viral Load,LabTest,Numeric,,,copies/ml,yes,,
9ee140e0-c7ce-11e9-a32f-2a2ae2dbcce4,,,Charge Virale Non Documenté,Not Documented Viral Load,Charge Virale Non Documenté,Not Documented Viral Load,LabTest,Numeric,,,copies/ml,yes,,
cac6bf44-f671-4f85-ab76-71e7f099d3cb,,,Date du test de routine de la charge virale,Routine Viral Load Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
ac479522-c891-11e9-a32f-2a2ae2dbcce4,,,Date du test de la charge virale ciblée,Targeted Viral Load Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
ac4797de-c891-11e9-a32f-2a2ae2dbcce4,,,Date du test de la charge virale non documentée,Not Documented Viral Load Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
d7cef833-f640-473a-ac5a-42a1fbfe99b1,,,Natremie,Sodium,Natremie,Sodium,LabTest,Numeric,145,135,mmol/L,yes,,
1e5c38b2-0b1c-4e4c-89ec-e93053dcb3ea,,,Natremie Date de résultat,Sodium Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
a1ad661b-b639-4b98-9244-d7a462cb6d30,,,Kaliemie,Potassium,Kaliemie,Potassium,LabTest,Numeric,5.1,3.5,mmol/L,yes,,
8b1d6f77-2328-45b2-982e-beebd7acbc6b,,,Kaliemie Date de résultat,Potassium Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
cfc68437-4e98-4c98-b7f9-a787c68d82ad,,,Magnésemie,Magnésium,Magnésemie,Magnésium,LabTest,Numeric,1.05,0.65,mmol/L ,yes,,
0a6d0385-fa47-4669-b997-865485acc29e,,,Magnésemie Date de résultat,Magnésium Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
0a1d2888-fd53-4031-9470-ca2140f997a9,,,Calcémie,Calcium,Calcémie,Calcium,LabTest,Numeric,2.5,2.1,mmol/L,yes,,
d08540a3-aca9-4c13-86fd-6498da090213,,,Calcémie Date de résultat,Calcium Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
78c30359-47bb-49b8-af55-85bb996f5830,,,Chlorémie,Chloride,Chlorémie,Chloride,LabTest,Numeric,106,96,mmol/L,yes,,
16d414d8-2a63-4996-9625-0ce8f9188428,,,Chlorémie Date de résultat,Chloride Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
211092ff-1891-43e3-aac7-928fd4a538d4,Sodium;Sodium Test Date;Potassium;Potassium Test Date;Magnésium;Magnésium Test Date;Calcium;Calcium Test Date;Chloride;Chloride Test Date,,Ionogramme,Electrolytes,Ionogramme,Electrolytes,LabSet,N/A,,,,,,
bec0e71b-452b-4107-ad97-285ae341e02a,,,Prostate specific antigen (PSA) ,Prostate specific antigen (PSA) ,Prostate specific antigen (PSA) ,Prostate specific antigen (PSA) ,LabTest,Numeric,4,0,µg/L,yes,,
fa8dbeca-e3c6-466c-a8d4-69c57fd0446c,,,Prostate specific antigen (PSA) Date de résultat,Prostate specific antigen (PSA) Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
fae8bb71-e7dd-4646-b656-4d65443412fe,,,CO2 (total),CO2 (total),CO2 (total),CO2 (total),LabTest,Numeric,29,22,mmol/L,yes,,
a7f3535e-5949-4b67-91a6-5f699cc4b183,,,CO2 (total) Date de résultat,CO2 (total) Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
27191e67-fef3-43c4-8978-b874b33f79a3,,,Protéine C réactive,C reactive protein,Protéine C réactive,C reactive protein,LabTest,Text,,,,,,
9bee7860-9f8c-4ff9-9577-04c4b1e95f4d,,,Protéine C réactive Date de résultat,C reactive protein Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
736dd48a-a2de-431c-a8f3-f26796821273,,,Protein - Total ,Protein (serum) - Total ,Protein (serum) - Total ,Protein (serum) - Total ,LabTest,Numeric,80,60,g/L,yes,,
a21fa713-8bc0-401a-af00-c0f43a6963f6,,,Protein - Total Date de résultat,Protein (serum) - Total Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
e2f9f28f-0df0-4eca-9bf9-8ada2791372d,,,Protein - Albumin ,Protein (serum) - Albumin ,Protein (serum) - Albumin ,Protein (serum) - Albumin ,LabTest,Numeric,55,35,g/L,yes,,
7e074a37-11de-49e6-be2a-5f79c0b8592f,,,Protein - Albumin Date de résultat,Protein (serum) - Albumin Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
c5db1e52-2fd4-4a28-9c7f-3ff7d20b1080,,,Cholestérol HDL,HDL,Cholestérol HDL,HDL,LabTest,Numeric,5.2,0,mmol/L,yes,,
0c105be8-73a1-4de4-a64c-1d30e00f6cce,,,Cholestérol HDL Date de résultat,HDL Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
60b556bb-1c91-4aa3-8c08-4f151aab83e1,,,LDL,LDL,LDL,LDL,LabTest,Numeric,0.91,0,mmol/L,yes,,
0c535d8c-7bbe-4e79-90ac-174c19f6072c,,,LDL Date de résultat,LDL Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
1bb32ab1-2b37-4881-8be0-077f6aa2bd52,,,Cholestérol total,Total cholesterol,Cholestérol total,Total cholesterol,LabTest,Numeric,,,,yes,,
24cda64d-fb97-438a-bd6b-c7ec36584ba7,,,Cholestérol total Date de résultat,Total cholesterol Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
a5617738-bf16-432b-b1a8-9bdd92ffba9e,,,Triglycérides,Triglycerides,Triglycérides,Triglycerides,LabTest,Numeric,1.71,0.45,mmol/L,yes,,
52b5a0b9-0de5-47f4-91d5-2f86ca1fd8ff,,,Triglycérides Date de résultat,Triglycerides Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
0a785a57-6216-4a1a-893a-5b1f8cdaa3f8,HDL;HDL Test Date;LDL;LDL Test Date;Total cholesterol;Total cholesterol Test Date;Triglycerides;Triglycerides Test Date,,Bilan lipidique,Lipid profile,Bilan lipidique,Lipid profile,LabSet,N/A,,,,,,
884b247b-2fa9-4fb6-bb4d-267baaeb5560,,,Aspartate Aminotransferase,Aspartate Aminotransferase,ASAT (SGOT),ASAT (SGOT),LabTest,Numeric,40,7,IU/L,yes,,
d7e38a3e-1114-41f8-8e2b-b1a5d0ea3b32,,,Aspartate Aminotransferase Date de résultat,Aspartate Aminotransferase Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
2be0dd33-272b-4c8d-9ffd-fdfea02be5de,,,Alanine Aminotransferase,Alanine Aminotransferase,ALAT (SGPT),ALAT (SGPT),LabTest,Numeric,35,5,IU/L,yes,,
ba218904-d955-4d33-bfd4-595379d77dfb,,,Alanine Aminotransferase Date de résultat,Alanine Aminotransferase Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
3b305fd2-e610-4e43-96e1-112f7b1ea436,,,Alanine Aminophosphatase,Alanine Aminophosphatase,ALAP,ALAP,LabTest,Numeric,,,,yes,,
3e6fbc1e-cffe-4fd3-90fb-5af27ee2646b,,,Alanine Aminophosphatase Date de résultat,Alanine Aminophosphatase Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
c11d979a-2d20-4b5c-a27a-22c52f2d9be0,Aspartate Aminotransferase;Aspartate Aminotransferase Test Date;Alanine Aminotransferase;Alanine Aminotransferase Test Date;Alanine Aminophosphatase;Alanine Aminophosphatase Test Date,,Transaminases,Transaminases,Transaminases,Transaminases,LabSet,N/A,,,,,,
